epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,run
1,2.1813948515689736,2.3282126784324646,0.39649960222752584,0.3466666666666667,0.3675224327564959,0.2991899104594877,exp6_chroma_mlp_scaled
2,1.7447309397687816,2.0577681931582363,0.4647573587907717,0.41703703703703704,0.44469797555589263,0.3743976492331855,exp6_chroma_mlp_scaled
3,1.6038849787278608,1.9944071823900396,0.49291964996022275,0.42592592592592593,0.47994531130747453,0.3879928648755458,exp6_chroma_mlp_scaled
4,1.5280562627195107,2.0479458678852427,0.5102625298329355,0.41703703703703704,0.49077253189695363,0.36845609961927445,exp6_chroma_mlp_scaled
5,1.4578066775293061,2.0607475584203545,0.5312649164677804,0.4111111111111111,0.5199204853583587,0.3708796762690396,exp6_chroma_mlp_scaled
6,1.4028964566461968,2.080101717602123,0.5360381861575179,0.4051851851851852,0.5260157529612717,0.3653949688758768,exp6_chroma_mlp_scaled
7,1.351537479294671,2.1038960272615608,0.5618138424821002,0.42,0.5507349377703173,0.377094469916112,exp6_chroma_mlp_scaled
8,1.3123774420131336,2.103533522649245,0.5591089896579157,0.3962962962962963,0.5571501579798684,0.3652505702033624,exp6_chroma_mlp_scaled
9,1.2856484814123674,2.118713053790006,0.5788385043754972,0.4177777777777778,0.572866174341109,0.3748425949496525,exp6_chroma_mlp_scaled
10,1.2380500465932518,2.2180824008854954,0.5875894988066825,0.4096296296296296,0.5859820900956306,0.36824407420565647,exp6_chroma_mlp_scaled
11,1.2056337239766362,2.2254357717253943,0.5949085123309467,0.40074074074074073,0.5909001907968843,0.3653738015788597,exp6_chroma_mlp_scaled
